,Title,Link,Price,Image,Year,Brand,Location,Kms Covered,Fuel Type,Type,Region Info
12,2017 Maruti Ertiga,https://www.cars24.com/buy-used-maruti-ertiga-2017-cars-new-delhi-10089165701/,663000.0,"https://marketplace-cdn.cars24.com/production/10089165701/main image/2026-03-06/car_replace_bg_bad3dc12-2dfe-4b7f-999b-8affa1f56835.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",2017,Maruti,Navjeevan Vihar Malviya nagar New Delhi,179304,Diesel,Manual,DL-3C
13,2017 Maruti Ertiga,https://www.cars24.com/buy-used-maruti-ertiga-2017-cars-new-delhi-10016669748/,432000.0,"https://marketplace-cdn.cars24.com/production/10016669748/main image/2026-03-07/car_replace_bg_a1e020e5-372f-4951-8588-261721934694.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",2017,Maruti,Anand Parbat Road Anand Parbat Delhi,84283,Diesel,Manual,DL-9C
14,2018 Maruti Ertiga,https://www.cars24.com/buy-used-maruti-ertiga-2018-cars-new-delhi-10049463731/,359000.0,"https://marketplace-cdn.cars24.com/production/10049463731/main image/2026-01-29/car_replace_bg_9f77612b-6e8c-4bad-9d40-2593fe948ea2.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",2018,Maruti,Ranhola New Delhi Delhi,91556,CNG,Manual,HR-98
15,2024 Maruti Ertiga,https://www.cars24.com/buy-used-maruti-ertiga-2024-cars-sonipat-44599860730/,932000.0,"https://marketplace-cdn.cars24.com/production/44599860730/main image/2026-01-29/car_replace_bg_c7dcf360-6f6a-483e-a272-5ddab087e6a6.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",2024,Maruti,Sonipat Pehladpur- Kirholi,28137,CNG,Manual,HR-79
16,2022 Maruti Ertiga,https://www.cars24.com/buy-used-maruti-ertiga-2022-cars-new-delhi-10096768736/,975000.0,"https://marketplace-cdn.cars24.com/production/10096768736/main image/2026-02-07/car_replace_bg_b73a72c9-35c1-4827-9a1b-ee4f10b05583.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",2022,Maruti,Moti Bagh New Delhi,41178,CNG,Manual,DL-3C
17,2021 Maruti Ertiga,https://www.cars24.com/buy-used-maruti-ertiga-2021-cars-new-delhi-10018663726/,690000.0,"https://marketplace-cdn.cars24.com/production/10018663726/main image/2026-02-14/car_replace_bg_541a93a2-c9ce-4569-96e7-147db66c7680.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",2021,Maruti,Shiv shakti mandir Ku block Delhi,45398,Petrol,Manual,DL-9C
18,2022 Maruti Ertiga,https://www.cars24.com/buy-used-maruti-ertiga-2022-cars-new-delhi-10041368789/,918000.0,"https://marketplace-cdn.cars24.com/production/10041368789/main image/2026-01-16/car_replace_bg_aec6ce4e-15b2-486f-bacc-583ae171f055.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",2022,Maruti,Sector 5 bawana industrial area Sector 5 bawana industrial area New Delhi,124326,CNG,Manual,DL-9C
19,2017 Maruti Ertiga,https://www.cars24.com/buy-used-maruti-ertiga-2017-cars-new-delhi-10051363713/,550000.0,"https://marketplace-cdn.cars24.com/production/10051363713/main image/2025-12-22/car_replace_bg_9e114f1b-5f2c-4797-ba4d-5fa1a959049c.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",2017,Maruti,Nehru place Nehru Place South Delhi,111242,Petrol,Manual,DL-2C
20,2020 Maruti Vitara Brezza,https://www.cars24.com/buy-used-maruti-vitara-brezza-2020-cars-noida-13896702768/,468000.0,"https://media.cars24.com/hello-ar/dev/transformed/uploads/no_bg/b68f7364-0b1b-11f1-bd51-02ede2007fbe/463ef02c-b0eb-4027-88fb-7b44c377d0bc/022a2fca-1a97-4897-aabd-064d6fcf6aab/0a572afe-b038-4654-98de-186faf94d44a/slot/1.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",2020,Maruti,"Gaur City mall, Multilevel parking, Greater Noida",84775,Petrol,Manual,UP-80
21,2017 Maruti Vitara Brezza,https://www.cars24.com/buy-used-maruti-vitara-brezza-2017-cars-gurgaon-11019765786/,459000.0,"https://media.cars24.com/hello-ar/dev/transformed/uploads/no_bg/60e5f1ce-153c-11f1-bd51-02ede2007fbe/86ef1bc3-cda4-4c12-8cd8-7e77737fb6e9/295f6a8e-bf7e-4153-94f3-07dd2ffc028d/9765bcfe-ff12-407d-94e7-a3697fadb72d/slot/1.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",2017,Maruti,"M3M Urbana, Golf Course Ext., Gurugram",80118,Diesel,Manual,HR-05
