,Title,Link,Price,Image,Year,Brand,Location,Kms Covered,Fuel Type,Type
1194,2018 Honda Brio 1.2 E MT,https://www.cardekho.com/used-car-details/used-Honda-brio-12-e-mt-cars-Noida_0e753931-a942-44a5-ab18-2aa3e265a474.htm,325000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2018,Honda,"Sector 16, Noida",47000.0,Petrol,Manual
1195,2016 Honda City i VTEC CVT VX,https://www.cardekho.com/used-car-details/used-Honda-city-i-vtec-cvt-vx-cars-New-Delhi_08c7ab02-e624-4a3a-92da-10ddffb2154e.htm?adId=21096&adType=41,525000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2016,Honda,"Greater Kailash, New Delhi",150000.0,Petrol,Automatic
1196,2018 Honda Brio 1.2 E MT,https://www.cardekho.com/used-car-details/used-Honda-brio-12-e-mt-cars-Noida_2240b079-1846-47c5-9187-3ef98a12e22a.htm,325000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2018,Honda,"Sector 16, Noida",47000.0,Petrol,Manual
1197,2023 Honda City VX CVT,https://www.cardekho.com/used-car-details/used-Honda-city-vx-cvt-cars-New-Delhi_3f942b68-c262-43c3-90cb-b70a5338cc13.htm,1250000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2023,Honda,"Preet Vihar, New Delhi",11500.0,Petrol,Automatic
1198,2022 Honda City VX CVT,https://www.cardekho.com/used-car-details/used-Honda-city-vx-cvt-cars-New-Delhi_1cf72d8a-455b-4d20-9162-4e0ad54eea6e.htm,1200000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2022,Honda,"Vikas Puri, New Delhi",13000.0,Petrol,Automatic
1199,2011 Honda City V AT,https://www.cardekho.com/used-car-details/used-Honda-city-v-at-cars-New-Delhi_e3c304f9-27cb-404e-aacb-3070a7bce2f2.htm?adId=21125&adType=41,115000.0,https://images10.gaadi.com/usedcar_image/5108832/original/processed_processed_processed_96989539-45c4-4b21-bf4c-b1870d855187.jpeg?imwidth=640,2011,Honda,"Rohini Sector-7, New Delhi",80000.0,Petrol,Automatic
1200,2020 Honda Amaze V CVT Petrol BSIV,https://www.cardekho.com/used-car-details/used-Honda-amaze-v-cvt-petrol-bsiv-cars-New-Delhi_261f7244-3002-4050-9d55-dc5a3e870ad4.htm,565000.0,https://images10.gaadi.com/usedcar_image/5160362/original/processed_ae54573d-5b48-4072-a8a6-b23c5e2fba6d.jpg?imwidth=640,2020,Honda,"Rohini Sector-7, New Delhi",72000.0,Petrol,Automatic
1201,2020 Honda City CVT,https://www.cardekho.com/buy-used-car-details/used-Honda-city-cvt-cars-Noida_5e4c5a73-4b07-4c3e-9505-e45f7c705a3c.htm,785000.0,https://images10.gaadi.com/usedcar_image/5162340/original/b9ad69637addaddb39ff969f1dd4e5aa.jpg?imwidth=640,2020,Honda,Noida,115809.0,Petrol,Automatic
1202,2022 Honda City V MT,https://www.cardekho.com/used-car-details/used-Honda-city-v-mt-cars-New-Delhi_658ccbb8-8593-4f51-8597-af68edcae943.htm,825000.0,https://images10.gaadi.com/usedcar_image/5119859/original/processed_33d2accb-3d17-41aa-be3f-127ff7cdffab.jpg?imwidth=640,2022,Honda,"Bengali Market, New Delhi",48000.0,Petrol,Manual
1203,2015 Honda CR-V 2.4L 4WD AT AVN,https://www.cardekho.com/used-car-details/used-Honda-cr-v-24l-4wd-at-avn-cars-New-Delhi_c6f6dd4f-3499-47c8-98ff-57b02f10547c.htm?adId=21335&adType=41,600000.0,https://images10.gaadi.com/usedcar_image/5119556/original/processed_processed_processed_fc1b0830-7b22-4a79-829a-fd26e50ed4c6.jpg?imwidth=640,2015,Honda,"Mehrauli, New Delhi",150000.0,Petrol,Automatic
1204,2022 Honda Amaze 2nd Gen VX CVT BSVI,https://www.cardekho.com/used-car-details/used-Honda-amaze-2nd-gen-vx-cvt-bsvi-cars-New-Delhi_16479634-f2bf-4d1d-b1ce-c85be5d4dcc0.htm,775000.0,https://images10.gaadi.com/usedcar_image/5110622/original/processed_5d62ab99-993a-45e2-af2b-b18233006681.jpg?imwidth=640,2022,Honda,"Dwarka Sector-6, New Delhi",44000.0,Petrol,Automatic
1205,2023 Honda Amaze 2nd Gen VX BSVI,https://www.cardekho.com/used-car-details/used-Honda-amaze-2nd-gen-vx-bsvi-cars-New-Delhi_1e7564f1-7b7a-42b3-b63b-8e882135b654.htm,675000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2023,Honda,"Preet Vihar, New Delhi",65000.0,Petrol,Manual
1206,2021 Honda City ZX CVT,https://www.cardekho.com/used-car-details/used-Honda-city-zx-cvt-cars-Noida_4440ee85-c987-4744-8487-fa515ce236f1.htm,995000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2021,Honda,Noida,61000.0,Petrol,Automatic
1207,2018 Honda City i-VTEC CVT VX,https://www.cardekho.com/used-car-details/used-Honda-city-i-vtec-cvt-vx-cars-New-Delhi_cbc326ec-286a-4f76-a10a-5ae4641a6d91.htm?adId=13750&adType=41,695000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2018,Honda,"Rajouri Garden, New Delhi",70000.0,Petrol,Automatic
1208,2019 Honda City i-VTEC V,https://www.cardekho.com/buy-used-car-details/used-Honda-city-i-vtec-v-cars-New-Delhi_5beaf12e-1470-481b-84b8-c18831e95aec.htm,530000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2019,Honda,"Rohini Courts, New Delhi",44509.0,Petrol,Manual
1209,2020 Honda City ZX MT,https://www.cardekho.com/buy-used-car-details/used-Honda-city-zx-mt-cars-New-Delhi_0ce9518a-19df-4c58-8893-2d18fb5c679c.htm,812000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2020,Honda,"Rohini Courts, New Delhi",37468.0,Petrol,Manual
