Title,Link,Location,Price,Information,Image,Brand
Tata Harrier,https://www.olx.in/item/cars-c84-used-tata-harrier-in-sector-14-gurgaon-iid-1836978655?rank=27,Sector 14,"₹ 25,90,000",2025 - 32 km,https://apollo.olx.in:443/v1/files/uoa0s7kbxg8s-IN/image;s=150x0;q=50;f=webp;,tata
Tata Harrier,https://www.olx.in/item/cars-c84-used-tata-harrier-in-cyber-city-gurgaon-iid-1836978132?rank=28,Cyber City,"₹ 18,50,000",2026 - 61 km,https://apollo.olx.in:443/v1/files/ec7vvlas0jgr2-IN/image;s=150x0;q=50;f=webp;,tata
Tata Tigor,https://www.olx.in/item/cars-c84-used-tata-tigor-in-geeta-colony-delhi-iid-1834331955?rank=29,Geeta Colony,"₹ 5,85,000","2022 - 57,000 km",https://apollo.olx.in:443/v1/files/tylnccajwfs33-IN/image;s=150x0;q=50;f=webp;,tata
Tata Safari,https://www.olx.in/item/cars-c84-used-tata-safari-in-karol-bagh-delhi-iid-1835876967?rank=30,Karol Bagh,"₹ 14,49,000","2022 - 60,000 km",https://apollo.olx.in:443/v1/files/k3jd9qmssa152-IN/image;s=150x0;q=50;f=webp;,tata
Tata Nexon,https://www.olx.in/item/cars-c84-used-tata-nexon-in-connaught-place-delhi-iid-1835317629?rank=31,Connaught Place,"₹ 4,50,000","2018 - 52,000 km",https://apollo.olx.in:443/v1/files/9m36u00mjr1o-IN/image;s=150x0;q=50;f=webp;,tata
Tata Nexon,https://www.olx.in/item/cars-c84-used-tata-nexon-in-ito-delhi-iid-1835316989?rank=32,ITO,"₹ 5,75,000","2019 - 20,000 km",https://apollo.olx.in:443/v1/files/xo1shfrin7el1-IN/image;s=150x0;q=50;f=webp;,tata
Tata Harrier,https://www.olx.in/item/cars-c84-used-tata-harrier-in-chirag-delhi-delhi-iid-1834213466?rank=33,Chirag Delhi,"₹ 24,00,000","2024 - 19,700 km",https://apollo.olx.in:443/v1/files/ly7xswvap57i-IN/image;s=150x0;q=50;f=webp;,tata
Tata Tiago,https://www.olx.in/item/cars-c84-used-tata-tiago-in-karol-bagh-delhi-iid-1819284361?rank=34,Karol Bagh,"₹ 3,25,000","2018 - 63,500 km",https://apollo.olx.in:443/v1/files/s1b5tp0exe5j2-IN/image;s=150x0;q=50;f=webp;,tata
Tata Tiago,https://www.olx.in/item/cars-c84-used-tata-tiago-in-ashok-vihar-delhi-iid-1836068279?rank=35,Ashok Vihar,"₹ 3,90,000","2021 - 79,000 km",https://apollo.olx.in:443/v1/files/kelfqkmsf4wj-IN/image;s=150x0;q=50;f=webp;,tata
Tata Harrier,https://www.olx.in/item/cars-c84-used-tata-harrier-in-south-block-delhi-iid-1833742981?rank=36,South Block,"₹ 12,67,000","2021 - 53,330 km",https://apollo.olx.in:443/v1/files/42d8pi0898872-IN/image;s=150x0;q=50;f=webp;,tata
Tata Harrier,https://www.olx.in/item/cars-c84-used-tata-harrier-in-dhaula-kuan-delhi-iid-1830856512?rank=37,Dhaula Kuan,"₹ 10,75,000","2020 - 74,000 km",https://apollo.olx.in:443/v1/files/de8c0yq3f6a-IN/image;s=150x0;q=50;f=webp;,tata
Tata Nano,https://www.olx.in/item/cars-c84-used-tata-nano-in-sewa-nagar-delhi-iid-1836975017?rank=38,Sewa Nagar,"₹ 95,000","2013 - 19,000 km",https://apollo.olx.in:443/v1/files/p9vtofr52e9v3-IN/image;s=150x0;q=50;f=webp;,tata
Tata Tigor,https://www.olx.in/item/cars-c84-used-tata-tigor-in-karol-bagh-delhi-iid-1836974939?rank=39,Karol Bagh,"₹ 5,75,000","2022 - 57,000 km",https://apollo.olx.in:443/v1/files/aw57lautk2k61-IN/image;s=150x0;q=50;f=webp;,tata
Tata Harrier,https://www.olx.in/item/cars-c84-used-tata-harrier-in-ashok-vihar-delhi-iid-1834423224?rank=0,Ashok Vihar,"₹ 11,25,000","2022 - 37,646 km",https://apollo.olx.in:443/v1/files/f3nmbp4a3f163-IN/image;s=150x0;q=50;f=webp;,tata
Tata tata-punch,https://www.olx.in/item/cars-c84-used-tata-tata-punch-in-laxmi-nagar-delhi-iid-1820629550?rank=1,Laxmi Nagar,"₹ 5,75,000","2022 - 55,000 km",https://apollo.olx.in:443/v1/files/t9ikdvjtocjx1-IN/image;s=150x0;q=50;f=webp;,tata
Tata Safari,https://www.olx.in/item/cars-c84-used-tata-safari-in-karol-bagh-delhi-iid-1831776487?rank=2,Karol Bagh,"₹ 12,55,000","2021 - 75,000 km",https://apollo.olx.in:443/v1/files/xawr9ey3wqqh1-IN/image;s=150x0;q=50;f=webp;,tata
Tata Safari,https://www.olx.in/item/cars-c84-used-tata-safari-in-karol-bagh-delhi-iid-1836969697?rank=3,Karol Bagh,"₹ 11,75,000","2021 - 39,200 km",https://apollo.olx.in:443/v1/files/hdxrzcu8liri1-IN/image;s=150x0;q=50;f=webp;,tata
Tata Tiago,https://www.olx.in/item/cars-c84-used-tata-tiago-in-jhandewalan-delhi-iid-1834206843?rank=4,Jhandewalan,"₹ 3,25,000","2019 - 59,000 km",https://apollo.olx.in:443/v1/files/gh8a4f1ncd9m2-IN/image;s=150x0;q=50;f=webp;,tata
Tata Harrier,https://www.olx.in/item/cars-c84-used-tata-harrier-in-karol-bagh-delhi-iid-1835676488?rank=5,Karol Bagh,"₹ 12,95,000","2021 - 32,100 km",https://apollo.olx.in:443/v1/files/80wimaj0fao53-IN/image;s=150x0;q=50;f=webp;,tata
Tata Nexon,https://www.olx.in/item/cars-c84-used-tata-nexon-in-lalita-park-delhi-iid-1833644635?rank=6,Lalita Park,"₹ 8,50,000","2022 - 16,000 km",https://apollo.olx.in:443/v1/files/70h4991szf622-IN/image;s=150x0;q=50;f=webp;,tata
Tata Nexon,https://www.olx.in/item/cars-c84-used-tata-nexon-in-connaught-place-delhi-iid-1835310185?rank=7,Connaught Place,"₹ 4,75,000","2019 - 59,000 km",https://apollo.olx.in:443/v1/files/ma1dbrv5k38i-IN/image;s=150x0;q=50;f=webp;,tata
Tata EV,https://www.olx.in/item/cars-c84-used-tata-ev-in-lajpat-nagar-1-delhi-iid-1834669857?rank=8,Lajpat Nagar 1,"₹ 7,50,000","2021 - 162,000 km",https://apollo.olx.in:443/v1/files/r1l5hum5za7u1-IN/image;s=150x0;q=50;f=webp;,tata
Tata Safari,https://www.olx.in/item/cars-c84-used-tata-safari-in-lajpat-nagar-1-delhi-iid-1829703403?rank=9,Lajpat Nagar 1,"₹ 16,25,000","2022 - 38,000 km",https://apollo.olx.in:443/v1/files/tluapsa5q029-IN/image;s=150x0;q=50;f=webp;,tata
Tata Nexon,https://www.olx.in/item/cars-c84-used-tata-nexon-in-subroto-park-delhi-iid-1836525495?rank=10,Subroto Park,"₹ 5,95,000","2022 - 23,780 km",https://apollo.olx.in:443/v1/files/e7rem693fsqg3-IN/image;s=150x0;q=50;f=webp;,tata
Tata Tiago,https://www.olx.in/item/cars-c84-used-tata-tiago-in-ashok-vihar-delhi-iid-1806680639?rank=11,Ashok Vihar,"₹ 4,49,000","2022 - 55,000 km",https://apollo.olx.in:443/v1/files/9hcqaawilbl33-IN/image;s=150x0;q=50;f=webp;,tata
Tata Nexon,https://www.olx.in/item/cars-c84-used-tata-nexon-in-ashok-vihar-delhi-iid-1834203322?rank=12,Ashok Vihar,"₹ 4,25,000","2018 - 98,000 km",https://apollo.olx.in:443/v1/files/avzxm177xmch-IN/image;s=150x0;q=50;f=webp;,tata
Tata Harrier,https://www.olx.in/item/cars-c84-used-tata-harrier-in-connaught-place-delhi-iid-1832691916?rank=13,Connaught Place,"₹ 12,45,000","2021 - 77,000 km",https://apollo.olx.in:443/v1/files/1bkye1vov7ia2-IN/image;s=150x0;q=50;f=webp;,tata
Tata Tigor,https://www.olx.in/item/cars-c84-used-tata-tigor-in-ashram-delhi-iid-1836963349?rank=14,Ashram,"₹ 4,15,000","2022 - 45,000 km",https://apollo.olx.in:443/v1/files/twbrndh5t3uf2-IN/image;s=150x0;q=50;f=webp;,tata
Tata Punch,https://www.olx.in/item/cars-c84-used-tata-punch-in-model-town-2-delhi-iid-1833729259?rank=15,Model Town 2,"₹ 4,75,000","2022 - 78,863 km",https://apollo.olx.in:443/v1/files/poy0x262wjh23-IN/image;s=150x0;q=50;f=webp;,tata
Tata Harrier,https://www.olx.in/item/cars-c84-used-tata-harrier-in-dlf-city-gurgaon-iid-1834755648?rank=16,DLF City,"₹ 9,25,000","2021 - 75,000 km",https://apollo.olx.in:443/v1/files/rq30qaonxbnr1-IN/image;s=150x0;q=50;f=webp;,tata
Tata Tiago,https://www.olx.in/item/cars-c84-used-tata-tiago-in-ashram-delhi-iid-1835110934?rank=17,Ashram,"₹ 2,95,000","2018 - 68,000 km",https://apollo.olx.in:443/v1/files/7puje2we6o68-IN/image;s=150x0;q=50;f=webp;,tata
Tata Altroz,https://www.olx.in/item/cars-c84-used-tata-altroz-in-lakshmi-nagar-delhi-iid-1833821073?rank=18,Lakshmi Nagar,"₹ 4,30,000","2021 - 52,000 km",https://apollo.olx.in:443/v1/files/zf6t2gvadyt01-IN/image;s=150x0;q=50;f=webp;,tata
Tata Nexon,https://www.olx.in/item/cars-c84-used-tata-nexon-in-ashok-vihar-delhi-iid-1836051449?rank=19,Ashok Vihar,"₹ 9,90,000","2025 - 2,100 km",https://apollo.olx.in:443/v1/files/nk6f42ms60s42-IN/image;s=150x0;q=50;f=webp;,tata
Tata Safari,https://www.olx.in/item/cars-c84-used-tata-safari-in-ashok-vihar-delhi-iid-1836780856?rank=20,Ashok Vihar,"₹ 13,25,000","2021 - 53,635 km",https://apollo.olx.in:443/v1/files/vd17eg7zgjnl3-IN/image;s=150x0;q=50;f=webp;,tata
Tata Tigor EV,https://www.olx.in/item/cars-c84-used-tata-tigor-ev-in-sector-17-gurgaon-iid-1829452835?rank=21,Sector 17,"₹ 2,99,999","2022 - 132,000 km",https://apollo.olx.in:443/v1/files/b729h70dke6x-IN/image;s=150x0;q=50;f=webp;,tata
Tata Harrier,https://www.olx.in/item/cars-c84-used-tata-harrier-in-geeta-colony-delhi-iid-1828320787?rank=22,Geeta Colony,"₹ 9,25,000","2019 - 61,253 km",https://apollo.olx.in:443/v1/files/147c9dlakqzl-IN/image;s=150x0;q=50;f=webp;,tata
Tata Tigor,https://www.olx.in/item/cars-c84-used-tata-tigor-in-sikanderpur-gurgaon-iid-1836239822?rank=23,Sikanderpur,"₹ 5,25,000","2023 - 62,000 km",https://apollo.olx.in:443/v1/files/8z87100p3ag41-IN/image;s=150x0;q=50;f=webp;,tata
Tata Nexon,https://www.olx.in/item/cars-c84-used-tata-nexon-in-ashram-delhi-iid-1835482755?rank=24,Ashram,"₹ 4,50,000","2018 - 52,000 km",https://apollo.olx.in:443/v1/files/22zf1piwcse5-IN/image;s=150x0;q=50;f=webp;,tata
Tata Curvv EV,https://www.olx.in/item/cars-c84-used-tata-curvv-ev-in-ashok-vihar-delhi-iid-1833725440?rank=25,Ashok Vihar,"₹ 16,75,000","2025 - 20,000 km",https://apollo.olx.in:443/v1/files/9a5xyv2p5fls1-IN/image;s=150x0;q=50;f=webp;,tata
Tata Tiago,https://www.olx.in/item/cars-c84-used-tata-tiago-in-ashram-delhi-iid-1831529654?rank=26,Ashram,"₹ 3,45,000","2019 - 52,000 km",https://apollo.olx.in:443/v1/files/kaf52j0iwycy1-IN/image;s=150x0;q=50;f=webp;,tata
Tata Curvv,https://www.olx.in/item/cars-c84-used-tata-curvv-in-iffco-chowk-gurgaon-iid-1814108959?rank=27,IFFCO Chowk,"₹ 17,40,000",2024 - 76 km,https://apollo.olx.in:443/v1/files/4y1x266ol0d93-IN/image;s=150x0;q=50;f=webp;,tata
Tata Tigor,https://www.olx.in/item/cars-c84-used-tata-tigor-in-sector-109-gurgaon-iid-1836947948?rank=28,Sector 109,"₹ 5,60,000","2023 - 86,500 km",https://apollo.olx.in:443/v1/files/9d061at15z3r-IN/image;s=150x0;q=50;f=webp;,tata
Tata Nexon,https://www.olx.in/item/cars-c84-used-tata-nexon-in-india-gate-delhi-iid-1835288865?rank=29,India Gate,"₹ 4,50,000","2018 - 52,000 km",https://apollo.olx.in:443/v1/files/r8g09nq77m7d2-IN/image;s=150x0;q=50;f=webp;,tata
Tata Tiago,https://www.olx.in/item/cars-c84-used-tata-tiago-in-karol-bagh-delhi-iid-1829562606?rank=30,Karol Bagh,"₹ 2,65,000","2016 - 67,000 km",https://apollo.olx.in:443/v1/files/8udtd247agjs2-IN/image;s=150x0;q=50;f=webp;,tata
Tata Tigor,https://www.olx.in/item/cars-c84-used-tata-tigor-in-tikri-kalan-delhi-iid-1805766717?rank=31,Tikri Kalan,"₹ 4,91,000","2022 - 52,000 km",https://apollo.olx.in:443/v1/files/xuo8aerysn8b2-ADVIN/image;s=150x0;q=50;f=webp;,tata
Tata Zest,https://www.olx.in/item/cars-c84-used-tata-zest-in-neeti-bagh-delhi-iid-1836941249?rank=32,Neeti Bagh,"₹ 1,95,000","2017 - 223,000 km",https://apollo.olx.in:443/v1/files/tz94assdzhaw2-IN/image;s=150x0;q=50;f=webp;,tata
Tata Harrier,https://www.olx.in/item/cars-c84-used-tata-harrier-in-kapashera-delhi-iid-1782260444?rank=33,Kapashera,"₹ 10,50,000","2019 - 78,000 km",https://apollo.olx.in:443/v1/files/itllaeeicjif1-IN/image;s=150x0;q=50;f=webp;,tata
Tata Indigo Cs,https://www.olx.in/item/cars-c84-used-tata-indigo-cs-in-safdarjung-delhi-iid-1836939679?rank=34,Safdarjung,"₹ 1,80,000","2017 - 50,000 km",https://apollo.olx.in:443/v1/files/ildyw29v7kw93-IN/image;s=150x0;q=50;f=webp;,tata
Tata Tiago,https://www.olx.in/item/cars-c84-used-tata-tiago-in-sarhaul-gurgaon-iid-1834946676?rank=35,Sarhaul,"₹ 3,74,900","2020 - 48,561 km",https://apollo.olx.in:443/v1/files/3xkdv6t4yej42-IN/image;s=150x0;q=50;f=webp;,tata
Tata Nexon,https://www.olx.in/item/cars-c84-used-tata-nexon-in-sarhaul-gurgaon-iid-1835368084?rank=36,Sarhaul,"₹ 4,21,400","2019 - 49,389 km",https://apollo.olx.in:443/v1/files/02zf6iujnqit-IN/image;s=150x0;q=50;f=webp;,tata
Tata EV,https://www.olx.in/item/cars-c84-used-tata-ev-in-ashok-vihar-delhi-iid-1835839368?rank=37,Ashok Vihar,"₹ 8,50,000","2022 - 55,000 km",https://apollo.olx.in:443/v1/files/o8dcvsne82g83-IN/image;s=150x0;q=50;f=webp;,tata
Tata Punch EV,https://www.olx.in/item/cars-c84-used-tata-punch-ev-in-vasant-kunj-delhi-iid-1828771160?rank=38,Vasant Kunj,"₹ 12,24,000","2024 - 35,000 km",https://apollo.olx.in:443/v1/files/x91ffhbwx6q11-IN/image;s=150x0;q=50;f=webp;,tata
Tata Safari Storme,https://www.olx.in/item/cars-c84-used-tata-safari-storme-in-karol-bagh-delhi-iid-1807763533?rank=39,Karol Bagh,"₹ 4,35,000","2016 - 82,500 km",https://apollo.olx.in:443/v1/files/355oi3r07qev2-IN/image;s=150x0;q=50;f=webp;,tata
Tata Harrier,https://www.olx.in/item/cars-c84-used-tata-harrier-in-ito-delhi-iid-1832231284?rank=0,ITO,"₹ 9,21,000","2019 - 64,218 km",https://apollo.olx.in:443/v1/files/saoqs3hk60jm3-IN/image;s=150x0;q=50;f=webp;,tata
Tata Tiago,https://www.olx.in/item/cars-c84-used-tata-tiago-in-model-town-delhi-iid-1833232256?rank=1,Model Town,"₹ 5,30,000","2022 - 7,000 km",https://apollo.olx.in:443/v1/files/ksxe5j9kpqo81-IN/image;s=150x0;q=50;f=webp;,tata
Tata Punch EV,https://www.olx.in/item/cars-c84-used-tata-punch-ev-in-ashok-vihar-delhi-iid-1829555995?rank=2,Ashok Vihar,"₹ 11,90,000","2024 - 34,000 km",https://apollo.olx.in:443/v1/files/y9sjwyzhp7gk1-IN/image;s=150x0;q=50;f=webp;,tata
Tata Tigor,https://www.olx.in/item/cars-c84-used-tata-tigor-in-lajpat-nagar-1-delhi-iid-1818674625?rank=3,Lajpat Nagar 1,"₹ 4,90,000","2022 - 69,000 km",https://apollo.olx.in:443/v1/files/juymcpqhh92v-IN/image;s=150x0;q=50;f=webp;,tata
Tata Punch,https://www.olx.in/item/cars-c84-used-tata-punch-in-sarojini-nagar-delhi-iid-1834726454?rank=4,Sarojini Nagar,"₹ 6,49,000","2024 - 46,500 km",https://apollo.olx.in:443/v1/files/j8246jmkz8i71-IN/image;s=150x0;q=50;f=webp;,tata
Tata Nexon,https://www.olx.in/item/cars-c84-used-tata-nexon-in-defence-colony-delhi-iid-1831560906?rank=5,Defence Colony,"₹ 10,90,000","2024 - 12,000 km",https://apollo.olx.in:443/v1/files/q3riz62tfsqf3-IN/image;s=150x0;q=50;f=webp;,tata
Tata Harrier,https://www.olx.in/item/cars-c84-used-tata-harrier-in-karol-bagh-delhi-iid-1836020480?rank=6,Karol Bagh,"₹ 12,90,000","2022 - 49,000 km",https://apollo.olx.in:443/v1/files/rhdglw6ai95o-IN/image;s=150x0;q=50;f=webp;,tata
Tata EV,https://www.olx.in/item/cars-c84-used-tata-ev-in-saket-delhi-iid-1836023495?rank=7,Saket,"₹ 11,95,000","2024 - 28,500 km",https://apollo.olx.in:443/v1/files/zupflfmetsd53-IN/image;s=150x0;q=50;f=webp;,tata
Tata EV,https://www.olx.in/item/cars-c84-used-tata-ev-in-south-extension-part-1-delhi-iid-1836023625?rank=8,South Extension Part 1,"₹ 11,95,000","2024 - 28,500 km",https://apollo.olx.in:443/v1/files/gfxcgxa799o41-IN/image;s=150x0;q=50;f=webp;,tata
Tata EV,https://www.olx.in/item/cars-c84-used-tata-ev-in-vasant-kunj-delhi-iid-1836234779?rank=9,Vasant Kunj,"₹ 11,95,000","2024 - 28,500 km",https://apollo.olx.in:443/v1/files/xknw56u4ghag3-IN/image;s=150x0;q=50;f=webp;,tata
Tata Punch,https://www.olx.in/item/cars-c84-used-tata-punch-in-south-extension-part-1-delhi-iid-1835632458?rank=10,South Extension Part 1,"₹ 5,90,000","2023 - 29,300 km",https://apollo.olx.in:443/v1/files/7haooe3l33hn2-IN/image;s=150x0;q=50;f=webp;,tata
Tata Tiago EV,https://www.olx.in/item/cars-c84-used-tata-tiago-ev-in-mehrauli-delhi-iid-1836920730?rank=11,Mehrauli,"₹ 5,90,000","2023 - 52,000 km",https://apollo.olx.in:443/v1/files/7k1y7rkisok92-IN/image;s=150x0;q=50;f=webp;,tata
